name,username,image,date,desc
ElshintaNews,@ElshintaDotcom,https://nitter.moomoo.me/pic/profile_images%2F1630251701352673280%2FuUbXLJKP_bigger.jpg,"Jan 6, 2024 Â· 11:59 PM UTC","Hari ke-41 kampanye, Anies fokus debat sedangkan Cak Imin keliling Jakarta elshinta.com/news/324429/202â€¦"
ğ�˜šğ�˜²ğ�˜¶ğ�˜ªğ�˜¥ğ�˜¸ğ�˜¢ğ�˜³ğ�˜¥,@derizana,https://nitter.moomoo.me/pic/profile_images%2F1697301961505386497%2FqhK8azb7_bigger.jpg,"Jan 6, 2024 Â· 11:56 PM UTC",bisa2nya podcast pak anies jadi penghantar tidur
Bli Saka,@ngurahsaka,https://nitter.moomoo.me/pic/profile_images%2F1665596027712462849%2F8W-foX5k_bigger.jpg,"Jan 6, 2024 Â· 11:56 PM UTC","sejak kapan mas ganjar dan mas anies agenda publik?
mereka berdua mewakili partai dibelakangnya kok."
Ù†ÙˆØ± Ø§Ù†ÙŠØ³ğŸ‡²ğŸ‡¾ğŸŒº,@anies_shahirah,https://nitter.moomoo.me/pic/profile_images%2F1616764004403404800%2Fq2g-_HSl_bigger.jpg,"Jan 6, 2024 Â· 11:54 PM UTC","aku bidang civil engineer, mohon jurutera awam ..kata tidak melepasi bidangğŸ¤” apakah"
Lidya Artinasari,@LArtinasari,https://nitter.moomoo.me/pic/profile_images%2F1555054790622982145%2FdOIDrn17_bigger.jpg,"Jan 6, 2024 Â· 11:54 PM UTC","Anies Bekerja Berlandaskan Ngibul, Tanpa Mampu Menghasilkan Bukti yg Konkret..!!

Pasutri Gaje Malam Minggu Korea KASAD Subuh Nana Pak Jonan"
CriticizeMovie,@rescuecats911,https://nitter.moomoo.me/pic/profile_images%2F1736612791816273920%2FeUcCAjB-_bigger.jpg,"Jan 6, 2024 Â· 11:54 PM UTC",Jangan Pilih Anies Lagi Yah!!! piped.kavin.rocks/76d9C_Bm27I?si=qaTBâ€¦ via @YouTube
Ceramahmotivasi.com,@ceramah_id,https://nitter.moomoo.me/pic/profile_images%2F985678827488624640%2F46C4JFPs_bigger.jpg,"Jan 6, 2024 Â· 11:48 PM UTC","Ikuti Hasil Ijtimak Ulama, Habib Bahar Sampaikan Dukungan ke Anies-Muhaimin 
liputan6.com/pemilu/read/549â€¦"
Manusia Moderat,@jidarulyantik,https://nitter.moomoo.me/pic/profile_images%2F1737152052642656256%2FzFN99MAj_bigger.jpg,"Jan 6, 2024 Â· 11:47 PM UTC","Bismillahirrahmanirrahim, in syaa allah kalo Anies-Muhaimin jadi presiden (aamiinğŸ¤²ğŸ�») saya kasih 5 orang makanan yg layak mendapatkannya (maaf soalnya cuman itu yg mampu saya lakukan hehe) mendukung sesuai kapasitas idealisme masing2ğŸ™�ğŸ�»tetap bhinneka tunggal Ika 
#nazarpemilu"
0xBlw..,@Ekodedi19,https://nitter.moomoo.me/pic/profile_images%2F1688136227189305344%2FNgHmVB29_bigger.jpg,"Jan 6, 2024 Â· 11:45 PM UTC","Jika pa Anies menang pilpres 2024, gw akan beliin istri PC full set. Seperti halnya gw beliin pada anak #nazarpemilu"
Devina Rosa,@devinarrrs,https://nitter.moomoo.me/pic/profile_images%2F1715548431354368000%2F6b_kX9V1_bigger.jpg,"Jan 6, 2024 Â· 11:43 PM UTC","Jangan deh pilih Ceper, ntar negara kita kayak badannya, bengkak tapi enggak berisi @MaisyahMS 
#nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies Kalau AMIN 
x.com/Metro_TV/status/174330â€¦"
